3.978378,CH\; 1-0 P_{2f}6.5
3.977440,CH\; 1-0 P_{2e}6.5
3.977056,CH\; 1-0 P_{1f}7.5
3.499178,CH\; 1-0 R_{1f}4.5
3.498775,CH\; 1-0 R_{1e}4.5
3.498281,CH\; 1-0 R_{2e}3.5
3.497860,CH\; 1-0 R_{2f}3.5
3.448205,CH\; 1-0 R6 blend
3.447689,CH\; 1-0 R_{2f}5.5
3.386867,CH\; 1-0 R_{1f}9.5
3.386628,CH\; 1-0 R_{2e}8.5
3.386222,CH\; 1-0 R_{1e}9.5
3.353812,CH\; 1-0 R_{1e}11.5
3.353631,CH\; 1-0 R_{2f}10.5
3.293016,CH\; 1-0 blend
3.292398,CH\; 1-0 blend
3.614708,CH\; 2-1 R_{1f}6.5
3.614205,CH\; 2-1 R6 blend
3.613654,CH\; 2-1 R_{2f}5.5
3.590967,CH\; 2-1 R_{2e}6.5
3.590760,CH\; 2-1 R_{1e}7.5
3.590350,CH\; 2-1 R_{2f}6.5
3.550483,CH\; 2-1 R_{1f}9.5
3.549815,CH\; 2-1 R_{1e}9.5
3.532932,CH\; 2-1 R_{1f}10.5
3.532714,CH\; 2-1 R_{2e}9.5
3.532230,CH\; 2-1 R_{1e}10.5
3.531996,CH\; 2-1 R_{2f}9.5
3.517248,CH\; 2-1 R_{1f}11.5
3.517061,CH\; 2-1 R_{2e}10.5
3.516531,CH\; 2-1 R_{1e}11.5
3.516324,CH\; 2-1 R_{2f}10.5
3.503271,CH\; 2-1 R_{2e}11.5
3.502694,CH\; 2-1 R_{1e}12.5
3.481886,CH\; 2-1 R24 blend
3.481467,CH\; 2-1 R24 blend
3.481270,CH\; 2-1 R14 blend
3.480526,CH\; 2-1 R14 blend
3.472976,CH\; 2-1 R15 blend
3.472240,CH\; 2-1 R15 blend
3.461879,CH\; 2-1 R17 & R21
3.461222,CH\; 2-1 R17 & R21
3.458142,CH\; 2-1 R19 blend
3.728775,CH\; 3-2 R_{1f}9.5
3.728490,CH\; 3-2 R_{2e}8.5
3.728066,CH\; 3-2 R_{1e}9.5
3.727759,CH\; 3-2 R_{2f}8.5
2.221254,CN\; 0-2 Q_{2}60.5
2.212425,CN\; 0-2 Q_{2}59.5
2.203799,CN\; 0-2 Q_{2}58.5
2.195380,CN\; 0-2 Q_{2}57.5
2.187159,CN\; 0-2 Q_{2}56.5
2.185329,CN\; 0-2 P_{1}46.5
2.183166,CN\; 0-2 Q_{1}56.5
2.179135,CN\; 0-2 Q_{2}55.5
2.175369,CN\; 0-2 Q_{1}55.5
2.171307,CN\; 0-2 Q_{2}54.5
2.169545,CN\; 0-2 P_{1}44.5
2.167761,CN\; 0-2 Q_{1}54.5
2.163664,CN\; 0-2 Q_{2}53.5
2.160343,CN\; 0-2 Q_{1}53.5
2.156212,CN\; 0-2 Q_{2}52.5
2.153111,CN\; 0-2 Q_{1}52.5
2.148942,CN\; 0-2 Q_{2}51.5
2.147295,CN\; 0-2 P_{1}41.5
2.146061,CN\; 0-2 Q_{1}51.5
2.141852,CN\; 0-2 Q_{2}50.5
2.140246,CN\; 0-2 P_{1}40.5
2.134938,CN\; 0-2 Q_{2}49.5
2.133377,CN\; 0-2 P_{1}39.5
2.132501,CN\; 0-2 Q_{1}49.5
2.128199,CN\; 0-2 Q_{2}48.5
2.125981,CN\; 0-2 Q_{1}48.5
2.121631,CN\; 0-2 Q_{2}47.5
2.119632,CN\; 0-2 Q_{1}47.5
2.115232,CN\; 0-2 Q_{2}46.5
2.113820,CN\; 0-2 P_{1}36.5
2.113454,CN\; 0-2 Q_{1}46.5
2.108999,CN\; 0-2 Q_{2}45.5
2.108072,CN\; 0-2 P_{2}35.5
2.107641,CN\; 0-2 P_{1}35.5
2.107442,CN\; 0-2 Q_{1}45.5
2.102930,CN\; 0-2 Q_{2}44.5
2.101793,CN\; 0-2 P_{2}34.5
2.101630,CN\; 0-2 P_{1}34.5
2.101596,CN\; 0-2 Q_{1}44.5
2.097020,CN\; 0-2 Q_{2}43.5
2.095788,CN\; 0-2 P_{1}33.5
2.095676,CN\; 0-2 P_{2}33.5
2.090384,CN\; 0-2 Q_{1}42.5
2.090106,CN\; 0-2 P_{1}32.5
2.085676,CN\; 0-2 Q_{2}41.5
2.085019,CN\; 0-2 Q_{1}41.5
2.080238,CN\; 0-2 Q_{2}40.5
2.079808,CN\; 0-2 Q_{1}40.5
2.078259,CN\; 0-2 P_{2}30.5
2.074950,CN\; 0-2 Q_{2}39.5
2.074752,CN\; 0-2 Q_{1}39.5
2.072758,CN\; 0-2 P_{2}29.5
2.069847,CN\; 0-2 Q_{1}38.5
2.069813,CN\; 0-2 Q_{2}38.5
2.068970,CN\; 0-2 P_{1}28.5
2.067404,CN\; 0-2 P_{2}28.5
2.065093,CN\; 0-2 Q_{1}37.5
2.064820,CN\; 0-2 Q_{2}37.5
2.064081,CN\; 0-2 P_{1}27.5
2.062197,CN\; 0-2 P_{2}27.5
2.060487,CN\; 0-2 Q_{1}36.5
2.060104,CN\; 0-2 R_{2}49.5
2.059976,CN\; 0-2 Q_{2}36.5
2.059337,CN\; 0-2 P_{1}26.5
2.059281,CN\; 0-2 R_{1}49.5
2.056028,CN\; 0-2 Q_{1}35.5
2.055273,CN\; 0-2 Q_{2}35.5
2.055178,CN\; 0-2 R_{2}48.5
2.051718,CN\; 0-2 Q_{1}34.5
2.050713,CN\; 0-2 Q_{2}34.5
2.049965,CN\; 0-2 R_{1}47.5
2.047551,CN\; 0-2 Q_{1}33.5
2.046294,CN\; 0-2 Q_{2}33.5
2.045528,CN\; 0-2 R_{1}46.5
2.043528,CN\; 0-2 Q_{1}32.5
2.042780,CN\; 0-2 P_{2}23.5
2.042011,CN\; 0-2 Q_{2}32.5
2.039645,CN\; 0-2 Q_{1}31.5
2.038267,CN\; 0-2 P_{2}22.5
2.037866,CN\; 0-2 Q_{2}31.5
2.037086,CN\; 0-2 R_{1}44.5
2.035904,CN\; 0-2 Q_{1}30.5
2.034047,CN\; 0-2 P_{1}20.5
2.033855,CN\; 0-2 Q_{2}30.5
2.033078,CN\; 0-2 R_{1}43.5
2.032727,CN\; 0-2 R_{2}43.5
2.032303,CN\; 0-2 Q_{1}29.5
2.030349,CN\; 0-2 P_{1}19.5
2.029975,CN\; 0-2 Q_{2}29.5
2.029635,CN\; 0-2 P_{2}20.5
2.028841,CN\; 0-2 Q_{1}28.5
2.026226,CN\; 0-2 Q_{2}28.5
2.025517,CN\; 0-2 Q_{1}27.5
2.022608,CN\; 0-2 Q_{2}27.5
2.022329,CN\; 0-2 Q_{1}26.5
2.021894,CN\; 0-2 R_{1}40.5
2.020134,CN\; 0-2 P_{1}16.5
2.019278,CN\; 0-2 Q_{1}25.5
2.009397,CN\; 0-2 Q_{2}23.5
2.000762,CN\; 0-2 Q_{2}20.5
1.995591,CN\; 0-2 Q_{2}18.5
1.994621,CN\; 0-2 Q_{1}14.5
1.993194,CN\; 0-2 Q_{1}13.5
1.993174,CN\; 0-2 Q_{2}17.5
1.992618,CN\; 0-2 R_{2}31.5
1.991901,CN\; 0-2 Q_{1}12.5
1.991192,CN\; 0-2 R_{1}29.5
1.990867,CN\; 0-2 Q_{2}16.5
1.990746,CN\; 0-2 Q_{1}11.5
1.989176,CN\; 0-2 R_{1}28.5
1.988671,CN\; 0-2 Q_{2}15.5
1.987702,CN\; 0-2 R_{2}29.5
1.987290,CN\; 0-2 R_{1}27.5
1.985531,CN\; 0-2 R_{1}26.5
1.985423,CN\; 0-2 R_{2}28.5
1.984596,CN\; 0-2 Q_{2}13.5
1.983898,CN\; 0-2 R_{1}25.5
1.983264,CN\; 0-2 R_{2}27.5
1.982391,CN\; 0-2 R_{1}24.5
1.981221,CN\; 0-2 R_{2}26.5
1.981009,CN\; 0-2 R_{1}23.5
1.979294,CN\; 0-2 R_{2}25.5
1.979248,CN\; 0-2 Q_{2}10.5
1.977658,CN\; 0-2 Q_{2}9.5
1.977627,CN\; 0-2 R_{1}20.5
1.977487,CN\; 0-2 R_{2}24.5
1.976165,CN\; 0-2 Q_{2}8.5
1.975789,CN\; 0-2 R_{2}23.5
1.975387,CN\; 0-2 R_{1}17.5
